tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
28850,43,31.4288937846275,49.2174369450372,30.7410919592576,29.8222810702606,25.4226721820502,19.1520190308901,49.2174369450372,99.99,99.99,99.99,31.392168045043945
28860,43,32.1301864892665,49.2174369450372,31.4288937846275,30.7410919592576,29.8222810702606,25.4226721820502,49.2174369450372,49.2174369450372,99.99,99.99,32.08121109008789
28870,43,34.1236916715114,75.3912815274814,32.1301864892665,31.4288937846275,30.7410919592576,29.8222810702606,49.2174369450372,49.2174369450372,49.2174369450372,99.99,34.03641128540039
28880,43,36.0130402515179,75.3912815274814,34.1236916715114,32.1301864892665,31.4288937846275,30.7410919592576,75.3912815274814,49.2174369450372,49.2174369450372,49.2174369450372,35.761844635009766
28890,43,37.5487872695692,75.3912815274814,36.0130402515179,34.1236916715114,32.1301864892665,31.4288937846275,75.3912815274814,75.3912815274814,49.2174369450372,49.2174369450372,37.5703239440918
28900,43,38.635401740254,62.3043592362593,37.5487872695692,36.0130402515179,34.1236916715114,32.1301864892665,75.3912815274814,75.3912815274814,75.3912815274814,49.2174369450372,38.61210250854492
28910,43,39.5145079770634,62.3043592362593,38.635401740254,37.5487872695692,36.0130402515179,34.1236916715114,62.3043592362593,75.3912815274814,75.3912815274814,75.3912815274814,39.46926498413086
28920,43,40.482442811649,62.3043592362593,39.5145079770634,38.635401740254,37.5487872695692,36.0130402515179,62.3043592362593,62.3043592362593,75.3912815274814,75.3912815274814,40.341129302978516
28930,43,39.5727375595306,15.4952926845114,40.482442811649,39.5145079770634,38.635401740254,37.5487872695692,62.3043592362593,62.3043592362593,62.3043592362593,75.3912815274814,39.65986633300781
28940,43,38.764872543787,15.4952926845114,39.5727375595306,40.482442811649,39.5145079770634,38.635401740254,15.4952926845114,62.3043592362593,62.3043592362593,62.3043592362593,38.69795227050781
28950,43,37.9008203618403,15.4952926845114,38.764872543787,39.5727375595306,40.482442811649,39.5145079770634,15.4952926845114,15.4952926845114,62.3043592362593,62.3043592362593,37.89799499511719
28960,43,40.023418345372,92.2523536577443,37.9008203618403,38.764872543787,39.5727375595306,40.482442811649,15.4952926845114,15.4952926845114,15.4952926845114,62.3043592362593,40.04787063598633
